Channel,Opcode,Command,Node
SNP,0x03,SnpOnce,HNF->RNF
SNP,0x04,SnpNotSharedDirty,HNF->RNF
SNP,0x05,SnpUniqueStash,HNF->RNF
SNP,0x06,SnpMakeInvalidStash,HNF->RNF
SNP,0x07,SnpUnique,HNF->RNF
SNP,0x08,SnpCleanShared,HNF->RNF
SNP,0x09,SnpCleanInvalid,HNF->RNF
SNP,0x0A,SnpMakeInvalid,HNF->RNF
SNP,0x0B,SnpStashUnique,HNF->RNF
SNP,0x0C,SnpStashShared,HNF->RNF
SNP,0x0D,SnpDVMOp,MN->RNF|RND
SNP,0x10,SnpQuery,HNF->RNF
SNP,0x11,SnpSharedFwd,HNF->RNF
SNP,0x12,SnpCleanFwd,HNF->RNF
SNP,0x13,SnpOnceFwd,HNF->RNF
SNP,0x14,SnpNotSharedDirtyFwd,HNF->RNF
SNP,0x15,SnpPreferUnique,HNF->RNF
SNP,0x16,SnpPreferUniqueFwd,HNF->RNF
SNP,0x17,SnpUniqueFwd,HNF->RNF
DAT,0x00,DataLCrdReturn,
DAT,0x01,SnpRespData,RNF->HNF
DAT,0x02,CopyBackWriteData,RNF->HNF
DAT,0x03,NonCopyBackWriteData,RNF|RND|RNI->HNF|HNI|SNF|SNI;RNF|RND->MN;HNF->SNF;HNI->SNI
DAT,0x04,CompData,P2P:RNF->RNF|RND|RNI;HNF|HNI->RNF|RND|RNI;SNF->RNF|RND|RNI|HNF;SNI->RNF|RND|RNI|HNI
DAT,0x05,SnpRespDataPtl,RNF->HNF
DAT,0x06,SnpRespDataFwded,RNF->HNF
DAT,0x07,WriteDataCancel,RNF|RND|RNI->HNF|HNI|SNF|SNI;HNF->SNF;HNI->SNI
DAT,0x0B,DataSepResp,HNF|HNI->RNF|RND|RNI;SNF|SNI->RNF|RND|RNI
DAT,0x0C,NCBWrDataCompAck,RNF|RND|RNI->HNF|HNI
